compound,river,date_sampled,year,result,result_unit,group
Rimsulfuron,Wilmot River,07/21/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Metalaxyl,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Clothianidin,Winter River,08/10/2011 12:00:00 AM,2011,< 0.01,ng/ml,Insecticides
Propyzamide,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Hexazinone,Clyde River,07/20/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Linuron,Huntley River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Azinphos-Methyl,Huntley River,07/22/2009 12:00:00 AM,2009,< 0.03,ng/ml,Insecticides
Hexazinone,Clyde River,08/09/2012 12:00:00 AM,2012,< 0.06,ng/ml,Herbicides
Chlorothalonil,Mill River,08/10/2011 12:00:00 AM,2011,< 0.02,ng/ml,Fungicides
Chlorantraniliprole,West River,08/08/2013 12:00:00 AM,2013,< 0.02,ng/ml,Insecticides
Metobromuron,Mill River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Propiconazole,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.1,ng/ml,Fungicides
Propiconazole,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.1,ng/ml,Fungicides
Fludioxonil,West River,09/13/2016 12:00:00 AM,2016,< 0.01,ng/ml,Fungicides
Rimsulfuron,Montague River,07/29/2014 12:00:00 AM,2014,< 0.02,ng/ml,Herbicides
Paraquat,Morell River,07/22/2013 12:00:00 AM,2013,< 10,ng/ml,Herbicides
Aldrin,Winter River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Mcpa,Mill River,07/20/2011 12:00:00 AM,2011,< 0.5,ng/ml,Herbicides
Methamidophos,Montague River,07/20/2011 12:00:00 AM,2011,< 5.0,ng/ml,Insecticides
Fludioxonil,Clyde River,08/13/2015 12:00:00 AM,2015,< 0.01,ng/ml,Fungicides
Permethrin,Montague River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Thiamethoxam,West River,09/18/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Chlorantraniliprole,Mill River,07/20/2011 12:00:00 AM,2011,< 0.1,ng/ml,Insecticides
Imidacloprid,Montague River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Mancozeb,Clyde River,09/12/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Mancozeb,Clyde River,09/12/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Azinphos-Methyl,Mill River,06/26/2018 12:00:00 AM,2018,< 0.03,ng/ml,Insecticides
Mancozeb,Clyde River,10/01/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Mancozeb,Clyde River,10/01/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Metobromuron,Clyde River,09/19/2012 12:00:00 AM,2012,< 0.03,ng/ml,Herbicides
Linuron,Huntley River,08/19/2009 12:00:00 AM,2009,< 0.06,ng/ml,Herbicides
Fludioxonil,Montague River,06/27/2018 12:00:00 AM,2018,< 0.01,ng/ml,Fungicides
Chlorothalonil,Clyde River,08/18/2015 12:00:00 AM,2015,< 0.02,ng/ml,Fungicides
Hexazinone,Clyde River,07/21/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Diphenamid,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Butralin,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Pyraclostrobin,Montague River,05/28/2018 12:00:00 AM,2018,< 0.156,ng/ml,Fungicides
Paraquat,Dunk River,07/14/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Paraquat,Dunk River,07/14/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Methamidophos,Mill River,07/24/2018 12:00:00 AM,2018,< 5.0,ng/ml,Insecticides
Picoxystrobin,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Chlorantraniliprole,Morell River,08/08/2013 12:00:00 AM,2013,< 0.02,ng/ml,Insecticides
Hexazinone,Clyde River,08/18/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Thiamethoxam,Mill River,06/26/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Imidacloprid,Clyde River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Rimsulfuron,Morell River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Hexazinone,West River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Thiophanate-Methyl,Mill River,08/24/2017 12:00:00 AM,2017,0.09,ng/ml,Fungicides
Thiamethoxam,Clyde River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Metalaxyl,Morell River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Fungicides
Bromopropylate,Winter River,05/28/2018 12:00:00 AM,2018,< 0.05,ng/ml,Acaricides
Permethrin,Dunk River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Paraquat,Huntley River,08/19/2009 12:00:00 AM,2009,< 10,ng/ml,Herbicides
Chlorthal-Dimethyl,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Pyrimethanil,Morell River,05/28/2018 12:00:00 AM,2018,< 0.053,ng/ml,Fungicides
Dimethoate,Montague River,08/25/2011 12:00:00 AM,2011,< 0.04,ng/ml,Insecticides
Butachlor,Montague River,05/28/2018 12:00:00 AM,2018,< 0.082,ng/ml,Herbicides
Methamidophos,Wilmot River,06/26/2018 12:00:00 AM,2018,< 5.0,ng/ml,Insecticides
Methamidophos,Winter River,08/10/2011 12:00:00 AM,2011,< 5.0,ng/ml,Insecticides
Flupyradifurone,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.14,ng/ml,Insecticides
Benalaxyl,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Linuron,Morell River,08/04/2010 12:00:00 AM,2010,< 0.06,ng/ml,Herbicides
